time	local_ip	remote_ip	remote_port	protocol	download	upload	
1557172469383	192.168.2.104	162.125.18.133	443	raw:ip:tcp:ssl	309	1810	
1557172469383	192.168.2.104	162.125.18.133	443	raw:ip:tcp	104	52	
1557172469383	192.168.2.134	139.7.117.161	4500	raw:ip:udp:udpencap	29	29	
1557172469383	192.168.2.134	139.7.117.161	4500	raw:ip:udp:udpencap:isakmp	256	256	
1557172469383	192.168.2.1	217.10.79.9	5060	raw:ip:udp:data	32	0	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp:imap:ssl	0	174	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp	10924	4308	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp:ssl	36701	5974	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp:imap	330	68	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp:ssl:ssl	46387	0	
1557172469383	192.168.2.104	78.46.5.205	143	raw:ip:tcp:ssl:pkcs-1:x509sat:x509sat:x509sat	1500	0	
1557172479385	192.168.2.104	78.46.5.205	143	raw:ip:tcp	0	468	
1557172479385	192.168.2.104	78.46.5.205	143	raw:ip:tcp:ssl	2447	570	
1557172489386	192.168.2.104	78.46.5.205	143	raw:ip:tcp:ssl	149	0	
1557172489386	192.168.2.104	78.46.5.205	143	raw:ip:tcp	52	80	
1557172489386	192.168.2.1	217.10.79.9	5060	raw:ip:udp:data	64	0	
1557172489386	192.168.2.104	108.177.96.125	5222	raw:ip:tcp	520	0	
1557172489386	192.168.2.104	108.177.96.125	5222	raw:ip:tcp:xmpp	0	424	
1557172489386	192.168.2.104	108.177.96.125	5222	raw:ip:tcp:xmpp:xml	0	53	
1557172489386	192.168.2.104	172.217.16.78	443	raw:ip:tcp:ssl	91	258	
1557172489386	192.168.2.104	172.217.19.66	443	raw:ip:tcp:ssl	206	516	
1557172489386	192.168.2.104	172.217.19.202	443	raw:ip:tcp:ssl	91	425	
1557172489386	192.168.2.104	216.58.213.195	443	raw:ip:tcp:ssl	103	258	
1557172489386	192.168.2.104	172.217.19.67	443	raw:ip:tcp:ssl	91	258	
1557172489386	192.168.2.104	172.217.19.78	443	raw:ip:tcp:ssl	91	258	
1557172489386	192.168.2.104	172.217.20.68	443	raw:ip:tcp:ssl	91	425	
1557172489386	192.168.2.104	104.25.219.21	443	raw:ip:tcp:ssl	0	167	
1557172489386	192.168.2.104	192.0.73.2	443	raw:ip:tcp:ssl	0	167	
1557172489386	192.168.2.104	172.217.168.200	443	raw:ip:tcp:ssl	0	167	
1557172489386	192.168.2.104	192.0.73.2	443	raw:ip:tcp	296	219	
1557172489386	192.168.2.104	172.217.19.202	443	raw:ip:tcp	272	236	
1557172489386	192.168.2.104	172.217.19.66	443	raw:ip:tcp	468	456	
1557172489386	192.168.2.104	172.217.16.78	443	raw:ip:tcp	168	212	
1557172489386	192.168.2.104	216.58.213.195	443	raw:ip:tcp	284	288	
1557172489386	192.168.2.104	172.217.19.67	443	raw:ip:tcp	104	132	
1557172489386	192.168.2.104	172.217.19.78	443	raw:ip:tcp	104	132	
1557172489386	192.168.2.104	172.217.20.68	443	raw:ip:tcp	156	196	
1557172489386	192.168.2.104	172.217.168.200	443	raw:ip:tcp	52	52	
