time	local_ip	remote_ip	remote_port	protocol	download	upload
2019-05-09T07:55:57.512Z	192.168.2.134	139.7.117.161	4500	udp:udpencap	29	116
2019-05-09T07:55:57.512Z	192.168.2.104	108.177.127.125	5222	tcp	1820	583
2019-05-09T07:55:57.512Z	192.168.2.104	108.177.127.125	5222	tcp:xmpp	0	1802
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	80	tcp	260	104
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	80	tcp:http	469	0
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	443	tcp	493640	21352
2019-05-09T07:55:57.512Z	192.168.2.1	192.168.8.1	53	udp:dns	37266	17065
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	443	tcp:ssl	38329	2881
2019-05-09T07:55:57.512Z	192.168.2.116	52.85.184.55	443	tcp	13456	1224
2019-05-09T07:55:57.512Z	192.168.2.116	52.85.184.55	443	tcp:ssl	6824	2851
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	443	tcp:ssl:pkcs-1:x509sat:x509sat:x509sat	787	0
2019-05-09T07:55:57.512Z	192.168.2.116	52.85.184.55	443	tcp:ssl:pkcs-1:x509sat:x509sat:x509sat	1500	0
2019-05-09T07:55:57.512Z	192.168.2.116	52.85.184.55	443	tcp:ssl:ssl	110	0
2019-05-09T07:55:57.512Z	192.168.2.116	93.184.220.29	80	tcp	1472	4430
2019-05-09T07:55:57.512Z	192.168.2.116	93.184.220.29	80	tcp:http:ocsp:x509af	0	4376
2019-05-09T07:55:57.512Z	192.168.2.116	93.184.220.29	80	tcp:http:ocsp:ocsp:x509af:pkcs-1	8636	0
2019-05-09T07:55:57.512Z	192.168.2.116	194.50.69.193	443	tcp:ssl:ssl	62427	0
2019-05-09T07:55:57.512Z	192.168.2.116	172.217.20.98	443	tcp:ssl	4645	4834
2019-05-09T07:55:57.512Z	192.168.2.116	23.52.12.242	443	tcp	15778	19056
2019-05-09T07:55:57.512Z	192.168.2.116	172.217.20.98	443	tcp	424	532
2019-05-09T07:55:57.512Z	192.168.2.116	23.52.12.242	443	tcp:ssl	26745	13860
2019-05-09T07:55:57.512Z	192.168.2.116	172.217.17.67	443	tcp:ssl	19278	1022
2019-05-09T07:55:57.512Z	192.168.2.116	23.52.12.242	443	tcp:ssl:pkcs-1:x509sat:x509sat:x509sat	10500	0
2019-05-09T07:55:57.512Z	192.168.2.116	23.52.12.242	443	tcp:ssl:ocsp:x509af:pkcs-1:ssl	5677	0
2019-05-09T07:55:57.512Z	192.168.2.116	172.217.17.67	443	tcp:ssl:ssl	79482	0
